Timestamp (UTC),Open,High,Low,Close,"FCPO Jan27: MA ‌ma‌ (50,C,ma,0)"
2026-05-08,4544,4589,4526,4543,4450.24
2026-05-11,4588,4605,4571,4573,4460.76
2026-05-12,4577,4578,4515,4567,4471.9
2026-05-13,4563,4576,4522,4546,4482.16
2026-05-14,4546,4564,4498,4506,4489.5
2026-05-15,4495,4529,4484,4517,4496.32
2026-05-18,4545,4607,4545,4588,4504.76
2026-05-19,4578,4670,4574,4645,4514.36
2026-05-20,4650,4720,4607,4673,4521.82
2026-05-21,4667,4699,4581,4582,4525.98
2026-05-22,4612,4617,4568,4598,4532.14
2026-05-25,4588,4617,4549,4586,4537.14
2026-05-26,4575,4630,4567,4630,4542.28
2026-05-28,4656,4680,4652,4653,4547.26
2026-05-29,4671,4697,4656,4673,4551.18
2026-06-03,4727,4815,4724,4802,4559.3
2026-06-04,4794,4817,4726,4733,4567
2026-06-05,4722,4736,4669,4697,4572.08
2026-06-08,4722,4748,4711,4726,4578.66
2026-06-09,4719,4737,4649,4692,4584.4
2026-06-10,4703,4725,4677,4704,4588.72
2026-06-11,4703,4736,4703,4719,4592.88
2026-06-12,4729,4730,4586,4624,4592.42
2026-06-15,4600,4612,4586,4593,4590.56
2026-06-16,4588,4686,4581,4683,4592.42
2026-06-18,4647,4715,4647,4680,4593.76
2026-06-19,4685,4760,4675,4729,4595.18
2026-06-22,4717,4805,4716,4772,4597.48
2026-06-23,4750,4815,4721,4751,4600.16
2026-06-24,4735,4776,4713,4729,4605.44
2026-06-25,4723,4726,4605,4641,4607.34
2026-06-26,4639,4718,4636,4648,4611.24
