Timestamp (UTC),Open,High,Low,Close,FCPO Mar23: Volume
2021-10-08,3530,3574,3530,3574,93
2021-10-11,3550,3595,3550,3578,51
2021-10-12,3576,3602,3573,3602,230
2021-10-13,3600,3642,3600,3642,69
2021-10-14,3657,3660,3657,3660,9
2021-10-15,3687,3707,3687,3697,122
2021-10-18,3646,3706,3646,3706,9
2021-10-20,3724,3780,3724,3780,49
2021-10-21,3780,3780,3725,3725,6
2021-10-22,3679,3685,3669,3671,28
2021-10-26,3799,3799,3799,3799,61
2021-10-28,3779,3779,3779,3779,4
2021-11-01,3811,3811,3738,3740,22
2021-11-02,3700,3729,3700,3729,22
2021-11-03,3750,3755,3750,3755,17
2021-11-08,3655,3680,3655,3680,22
2021-11-09,3589,3623,3587,3621,46
2021-11-10,3745,3766,3730,3753,708
2021-11-11,3760,3835,3760,3835,80
2021-11-12,3820,3825,3810,3812,83
2021-11-15,3757,3800,3757,3775,33
2021-11-16,3820,3820,3800,3809,22
2021-11-17,3810,3850,3810,3850,43
2021-11-18,3835,3845,3833,3844,169
2021-11-22,3798,3798,3798,3798,1
2021-11-25,3888,3895,3826,3826,48
2021-11-26,3758,3758,3758,3758,3
2021-11-30,3727,3739,3626,3635,68
2021-12-02,3616,3648,3616,3648,10
2021-12-07,3920,3920,3920,3920,3
2021-12-08,3875,3905,3875,3905,10
2021-12-13,3899,3899,3830,3862,50
2021-12-14,3900,3900,3820,3829,44
2021-12-15,3796,3810,3720,3720,45
2021-12-16,3817,3830,3795,3830,82
2021-12-24,3860,3860,3860,3860,1
2021-12-30,3844,3865,3815,3815,13
2022-01-03,3968,3968,3968,3968,7
2022-01-05,3961,4023,3961,4022,81
2022-01-06,3940,3940,3940,3940,3
2022-01-11,4091,4091,4082,4082,6
2022-01-12,4070,4070,4056,4056,15
2022-01-13,4060,4082,4060,4082,103
2022-01-14,4043,4116,4043,4104,84
2022-01-19,4234,4234,4234,4234,73
2022-01-20,4234,4261,4234,4250,108
2022-01-21,4254,4266,4254,4266,33
2022-01-24,4374,4379,4267,4353,474
2022-01-25,4316,4316,4310,4310,30
2022-01-26,4370,4390,4362,4362,77
2022-01-27,4433,4451,4414,4414,60
2022-01-28,4459,4559,4450,4554,392
2022-01-31,4630,4655,4575,4575,75
2022-02-03,4571,4571,4521,4540,10
2022-02-04,4608,4608,4608,4608,9
2022-02-07,4679,4679,4525,4548,73
2022-02-08,4508,4581,4508,4581,39
2022-02-09,4445,4593,4426,4567,250
2022-02-10,4560,4560,4548,4548,7
2022-02-11,4525,4577,4513,4577,36
2022-02-14,4570,4585,4563,4570,78
2022-02-15,4616,4622,4562,4562,36
2022-02-16,4574,4600,4560,4560,60
2022-02-17,4585,4631,4570,4631,70
2022-02-18,4641,4670,4641,4662,166
2022-02-21,4725,4729,4701,4720,65
2022-02-22,4777,4826,4777,4815,176
2022-02-23,4811,4946,4811,4893,169
2022-02-24,4946,5246,4946,5246,477
2022-02-25,5080,5080,4860,4929,176
2022-02-28,5108,5108,5030,5031,326
2022-03-01,5170,5240,5116,5240,234
2022-03-02,5340,5350,4934,5129,107
2022-03-03,5330,5560,5330,5440,353
2022-03-04,5310,5321,5283,5317,131
2022-03-07,5476,5484,5447,5474,60
2022-03-09,5513,5661,5450,5661,91
2022-03-10,5568,5638,5568,5637,36
2022-03-11,5425,5425,5415,5415,123
2022-03-14,5208,5266,5104,5266,254
2022-03-15,5157,5171,5036,5130,14
2022-03-16,5339,5500,5339,5500,129
2022-03-17,5461,5555,5398,5510,90
2022-03-18,5444,5444,5325,5337,142
2022-03-21,5398,5566,5398,5500,74
2022-03-23,5545,5545,5545,5545,28
2022-03-24,5535,5553,5535,5535,98
2022-03-25,5521,5539,5475,5522,202
2022-03-28,5497,5497,5497,5497,7
2022-03-29,5460,5464,5460,5462,13
2022-03-30,5447,5461,5417,5461,120
2022-03-31,5457,5457,5300,5300,6
2022-04-01,5384,5384,5120,5160,273
2022-04-04,5239,5239,5222,5232,44
2022-04-05,5334,5368,5330,5367,63
2022-04-06,5428,5495,5408,5444,193
2022-04-07,5460,5490,5350,5350,135
2022-04-08,5395,5470,5395,5470,58
2022-04-11,5497,5521,5488,5490,118
2022-04-12,5595,5650,5593,5644,121
2022-04-13,5583,5591,5570,5570,413
2022-04-14,5735,5738,5616,5655,158
2022-04-15,5689,5733,5689,5733,97
2022-04-18,5835,5885,5835,5885,247
2022-04-20,5935,5937,5747,5786,562
2022-04-21,5803,5860,5747,5761,155
2022-04-22,5820,5863,5706,5852,327
2022-04-25,6038,6038,5641,5689,331
2022-04-26,5835,5835,5693,5730,264
2022-04-27,5878,6140,5845,6140,1332
2022-04-28,6058,6097,5957,6065,1062
2022-04-29,6035,6230,6035,6210,663
2022-05-05,5975,6068,5975,6005,677
2022-05-06,6087,6087,5857,5905,1851
2022-05-09,5911,5954,5871,5938,187
2022-05-10,5837,5916,5795,5899,215
2022-05-11,5844,5988,5844,5988,610
2022-05-12,5905,5920,5800,5920,1767
2022-05-13,5897,5968,5889,5889,733
2022-05-17,5819,5927,5819,5875,278
2022-05-18,5905,5925,5860,5895,769
2022-05-19,5909,5915,5796,5796,396
2022-05-20,5786,6024,5786,5871,1874
2022-05-23,5937,5996,5903,5982,238
2022-05-24,6004,6145,6002,6145,829
2022-05-25,6075,6075,6000,6028,519
2022-05-26,5955,6110,5955,6073,208
2022-05-27,6042,6152,5929,5929,934
2022-05-30,5974,5977,5859,5869,619
2022-05-31,5896,5970,5867,5935,781
2022-06-01,5940,6007,5885,5947,1203
2022-06-02,5967,6012,5942,5942,1203
2022-06-03,5977,6042,5887,5975,797
2022-06-07,6003,6105,6003,6055,473
2022-06-08,6067,6098,6018,6060,993
2022-06-09,6029,6029,5813,5881,1343
2022-06-10,5851,5899,5656,5656,1857
2022-06-13,5637,5662,5452,5494,1260
2022-06-14,5500,5592,5497,5530,1318
