Timestamp (UTC),Open,High,Low,Close,FCPO May23: Volume
2022-07-01,4968,4974,4686,4859,1765
2022-07-04,4707,4707,4450,4534,1268
2022-07-05,4475,4522,4417,4417,378
2022-07-06,4317,4317,4000,4276,914
2022-07-07,4185,4430,4150,4404,899
2022-07-08,4484,4497,4352,4482,1131
2022-07-12,4512,4522,4378,4385,762
2022-07-13,4308,4326,4140,4140,1470
2022-07-14,4106,4273,3861,3962,2198
2022-07-15,4028,4070,3867,3920,1423
2022-07-18,4085,4202,4067,4197,2314
2022-07-19,4072,4123,4072,4087,878
2022-07-20,4169,4253,4155,4184,907
2022-07-21,4175,4175,3910,3948,2358
2022-07-22,3980,4002,3914,3932,800
2022-07-25,3965,4021,3882,3972,459
2022-07-26,3955,4100,3955,4010,532
2022-07-27,3963,4055,3906,4015,1319
2022-07-28,4075,4222,4075,4196,398
2022-07-29,4278,4515,4278,4515,1275
2022-08-01,4460,4460,4331,4361,1792
2022-08-02,4308,4328,4136,4136,837
2022-08-03,4151,4222,4081,4143,1892
2022-08-04,4145,4145,4020,4038,2312
2022-08-05,4048,4133,4048,4071,1503
2022-08-08,4194,4281,4194,4252,188
2022-08-09,4265,4340,4202,4315,612
2022-08-10,4300,4300,4201,4231,995
2022-08-11,4346,4400,4333,4399,208
2022-08-12,4393,4611,4391,4596,1649
2022-08-15,4415,4451,4399,4401,695
2022-08-16,4345,4412,4325,4326,1216
2022-08-17,4290,4384,4290,4359,663
2022-08-18,4336,4336,4195,4217,867
2022-08-19,4237,4321,4183,4233,2294
2022-08-22,4340,4354,4267,4295,2662
2022-08-23,4326,4371,4220,4341,5619
2022-08-24,4397,4437,4223,4378,4191
2022-08-25,4360,4438,4360,4383,598
2022-08-26,4372,4398,4309,4311,1041
2022-08-29,4353,4378,4311,4334,1116
2022-08-30,4353,4377,4271,4329,2152
2022-09-01,4377,4377,4155,4155,577
2022-09-02,4105,4105,4009,4072,1105
2022-09-05,4120,4120,4037,4070,954
2022-09-06,4040,4041,3940,3965,849
2022-09-07,3964,3969,3863,3875,3091
2022-09-08,3860,3910,3657,3726,4026
2022-09-09,3759,3839,3759,3802,1277
2022-09-12,3825,3865,3796,3862,2093
2022-09-13,3852,4077,3841,4077,3777
2022-09-14,4024,4107,3987,4055,6300
2022-09-15,4062,4062,3923,3939,4060
2022-09-19,4014,4035,3833,3855,3180
2022-09-20,3859,3933,3762,3922,1755
2022-09-21,3858,4039,3803,4016,2484
2022-09-22,3982,4005,3940,3974,287
2022-09-23,3941,3973,3879,3904,1599
2022-09-26,3731,3743,3594,3721,3313
2022-09-27,3747,3748,3621,3707,2563
2022-09-28,3698,3707,3400,3401,4648
2022-09-29,3491,3566,3418,3514,2474
2022-09-30,3515,3619,3465,3604,1919
2022-10-03,3494,3624,3494,3594,1123
2022-10-04,3615,3799,3613,3784,845
2022-10-05,3848,3980,3802,3802,3330
2022-10-06,3786,3943,3786,3841,2563
2022-10-07,3855,3969,3853,3940,4347
2022-10-11,3893,3925,3797,3806,3811
2022-10-12,3850,3908,3828,3865,2578
2022-10-13,3872,3896,3778,3785,4379
2022-10-14,3724,4000,3719,3939,3261
2022-10-17,3939,3944,3857,3940,3870
2022-10-18,3951,4109,3941,4014,5689
2022-10-19,4058,4170,4034,4106,7256
2022-10-20,4094,4179,4044,4089,10248
2022-10-21,4105,4174,4065,4095,4889
2022-10-25,4170,4233,4083,4095,4401
2022-10-26,4115,4193,4036,4078,7550
2022-10-27,4084,4200,4084,4096,4372
2022-10-28,4126,4134,3926,3952,7338
2022-10-31,4016,4116,3957,3987,4561
2022-11-01,3981,4196,3981,4160,5120
2022-11-02,4203,4350,4164,4308,3872
2022-11-03,4255,4398,4251,4260,3060
2022-11-04,4274,4399,4208,4331,3146
2022-11-07,4300,4416,4276,4405,3494
2022-11-08,4392,4424,4341,4342,7104
2022-11-09,4359,4376,4138,4149,7204
2022-11-10,4148,4220,4070,4130,5156
2022-11-11,4130,4302,4130,4279,5719
2022-11-14,4216,4279,4115,4119,5097
2022-11-15,4129,4167,3992,4018,4837
2022-11-16,4046,4068,3961,3971,3089
2022-11-17,3955,3967,3785,3818,7021
2022-11-21,3796,3876,3756,3817,3324
2022-11-22,3847,3989,3796,3981,3323
2022-11-23,3993,4095,3968,4078,4004
2022-11-24,4032,4185,3982,3989,4155
2022-11-25,4002,4094,3980,4087,3344
2022-11-29,4140,4230,4117,4166,4721
2022-11-30,4194,4220,4142,4193,3383
2022-12-01,4201,4251,4027,4044,8426
2022-12-02,4076,4121,3885,3919,8815
2022-12-05,4020,4064,3936,3960,5457
2022-12-06,3966,4114,3873,4104,8821
2022-12-07,4063,4110,3957,3974,6411
2022-12-08,4012,4046,3893,3961,5726
2022-12-09,3993,4054,3973,4025,2476
2022-12-12,3901,3904,3762,3779,8708
2022-12-13,3801,3963,3783,3899,7873
2022-12-14,3926,4000,3912,3945,8640
2022-12-15,3949,3980,3864,3874,3332
2022-12-16,3888,3988,3862,3900,4522
2022-12-19,3920,3950,3889,3905,3317
2022-12-20,3923,3967,3832,3855,3527
2022-12-21,3870,3957,3830,3949,4252
2022-12-22,3955,3984,3850,3882,4770
2022-12-23,3870,3876,3809,3831,6292
2022-12-27,4001,4111,4001,4090,5479
2022-12-28,4073,4121,4053,4062,3136
2022-12-29,4074,4084,3989,4064,2178
2022-12-30,4087,4215,4052,4140,5222
2023-01-03,4105,4220,4105,4196,4856
2023-01-04,4187,4205,4100,4122,7248
2023-01-05,4117,4119,4017,4068,5556
2023-01-06,4093,4110,4016,4036,5958
2023-01-09,4021,4122,3985,4117,8491
2023-01-10,4097,4102,3933,3986,11960
2023-01-11,3988,4012,3908,3927,8327
2023-01-12,3940,3978,3886,3928,7027
2023-01-13,3944,3947,3848,3850,9834
2023-01-16,3891,3928,3854,3856,5144
2023-01-17,3869,3889,3792,3799,8424
2023-01-18,3833,3898,3816,3876,11506
2023-01-19,3856,3914,3853,3885,7293
2023-01-20,3880,3949,3859,3885,5518
2023-01-25,3849,3856,3723,3755,11995
2023-01-26,3749,3813,3727,3775,5485
2023-01-27,3785,3909,3775,3909,9342
2023-01-30,3942,3990,3918,3932,11915
2023-01-31,3938,3964,3816,3818,11626
2023-02-02,3779,3806,3739,3762,13842
2023-02-03,3760,3881,3745,3859,9623
2023-02-07,3893,3973,3893,3927,10696
2023-02-08,3933,4035,3916,4000,12792
2023-02-09,3969,4009,3940,3971,9785
2023-02-10,3975,3987,3855,3925,15306
2023-02-13,3957,3968,3887,3921,10188
2023-02-14,3929,3983,3910,3961,14885
2023-02-15,3964,3992,3917,3943,15555
2023-02-16,3950,4093,3927,4070,33987
2023-02-17,4064,4170,4061,4136,28924
2023-02-20,4152,4202,4137,4163,20612
2023-02-21,4167,4200,4127,4139,19330
2023-02-22,4141,4225,4140,4148,25619
2023-02-23,4168,4238,4160,4235,25455
2023-02-24,4225,4269,4192,4203,26762
2023-02-27,4171,4242,4147,4228,24604
2023-02-28,4224,4234,4135,4136,25439
2023-03-01,4151,4220,4141,4188,24447
2023-03-02,4192,4425,4187,4293,34965
2023-03-03,4281,4359,4267,4357,23175
2023-03-06,4299,4317,4253,4278,18350
2023-03-07,4269,4287,4196,4206,21490
2023-03-08,4202,4218,4109,4181,24500
2023-03-09,4170,4247,4140,4204,25348
2023-03-10,4215,4244,4088,4098,31296
2023-03-13,4090,4130,4034,4045,33414
2023-03-14,4010,4064,3967,3982,30582
2023-03-15,3991,4058,3991,4015,22642
2023-03-16,3981,4021,3945,4007,14437
2023-03-17,4004,4072,3966,3988,7420
2023-03-20,3965,3974,3835,3858,8596
2023-03-21,3888,3929,3838,3860,8220
2023-03-22,3874,3888,3711,3747,10461
2023-03-23,3751,3767,3632,3648,7688
2023-03-24,3644,3750,3584,3618,9455
2023-03-27,3664,3715,3630,3698,5665
2023-03-28,3718,3841,3690,3836,5334
2023-03-29,3818,3864,3783,3859,3750
2023-03-30,3857,3947,3827,3935,3924
2023-03-31,3936,3952,3850,3906,3550
2023-04-03,4000,4063,3981,4025,2651
2023-04-04,4018,4114,4006,4106,2766
2023-04-05,4092,4100,4006,4014,4482
2023-04-06,3999,4067,3971,3973,3336
2023-04-07,3970,4004,3921,3960,2716
2023-04-10,3921,4080,3899,4056,5327
2023-04-11,4040,4129,4033,4095,4519
2023-04-12,4102,4113,3963,3976,3252
2023-04-13,3991,3993,3862,3902,2794
2023-04-14,3890,3949,3865,3911,2116
2023-04-17,3935,4016,3933,4015,1235
2023-04-18,4009,4181,4009,4141,2154
2023-04-19,4132,4183,4073,4073,1991
2023-04-20,4106,4130,4051,4111,1845
2023-04-25,4000,4084,3985,4080,1025
2023-04-26,4050,4074,4023,4064,506
2023-04-27,4069,4080,4028,4040,1486
2023-04-28,4050,4190,3877,3948,2183
2023-05-02,3943,4020,3943,4020,92
2023-05-03,4002,4025,3969,4025,371
2023-05-05,4079,4100,4050,4070,367
2023-05-08,4120,4120,4084,4085,619
2023-05-09,4020,4084,4020,4061,204
2023-05-10,4000,4030,3930,3930,224
2023-05-11,3820,3820,3800,3800,50
2023-05-12,3756,3803,3751,3800,278
2023-05-15,3850,3850,3850,3850,70
