instrument,group,era,shape,duration_bucket,horizon,n_signals,reversion_rate_pct,continuation_rate_pct,anti_rev_depth_z,time_to_turn_days,half_life_days,net_directional_bias_pct,low_n_flag
M4-M5,live-9,full,C,mid,10,29,62.07,48.28,2.135,2.0,3.5,12.07,
M4-M5,live-9,full,C,mid,20,27,77.78,55.56,2.242,3.0,4.0,27.78,
M4-M5,live-9,full,F,early,5,9,33.33,33.33,2.764,1.0,3.0,-16.67,LOW-N
M4-M5,live-9,full,F,early,10,9,44.44,33.33,2.764,1.0,3.5,-5.56,LOW-N
M4-M5,live-9,full,F,early,20,9,100.0,77.78,2.754,15.0,4.0,50.0,LOW-N
M4-M5,live-9,full,F,established,5,0,,,,,,,
M4-M5,live-9,full,F,established,10,0,,,,,,,
M4-M5,live-9,full,F,established,20,0,,,,,,,
M4-M5,live-9,full,F,mid,5,6,33.33,0.0,,,1.5,-16.67,LOW-N
M4-M5,live-9,full,F,mid,10,6,33.33,0.0,,,1.5,-16.67,LOW-N
M4-M5,live-9,full,F,mid,20,6,66.67,0.0,,,9.5,16.67,LOW-N
M4-M5,live-9,full,MB,early,5,24,16.67,16.67,2.384,1.0,2.5,-33.33,
M4-M5,live-9,full,MB,early,10,24,33.33,16.67,2.384,1.0,6.0,-16.67,
M4-M5,live-9,full,MB,early,20,24,62.5,37.5,2.974,16.0,7.0,12.5,
M4-M5,live-9,full,MB,established,5,0,,,,,,,
M4-M5,live-9,full,MB,established,10,0,,,,,,,
M4-M5,live-9,full,MB,established,20,0,,,,,,,
M4-M5,live-9,full,MB,mid,5,10,10.0,10.0,2.416,3.0,1.0,-40.0,LOW-N
M4-M5,live-9,full,MB,mid,10,10,20.0,20.0,1.983,5.5,5.5,-30.0,LOW-N
M4-M5,live-9,full,MB,mid,20,10,60.0,30.0,1.924,8.0,10.5,10.0,LOW-N
M4-M5,live-9,full,SB,early,5,31,9.68,29.03,3.329,2.0,1.0,-40.32,
M4-M5,live-9,full,SB,early,10,31,29.03,32.26,3.219,2.0,2.0,-20.97,
M4-M5,live-9,full,SB,early,20,31,67.74,32.26,3.283,2.0,8.0,17.74,
M4-M5,live-9,full,SB,established,5,51,31.37,47.06,2.62,2.0,2.5,-18.63,
