Timestamp (UTC),Open,High,Low,Close,FCPO Jan09: Volume
2007-07-26,2345,2345,2345,2345,0
2007-07-30,2450,2450,2450,2450,0
2007-07-30,2459,2459,2459,2459,0
2007-07-31,2459,2459,2459,2459,0
2007-08-01,2459,2459,2459,2459,0
2007-08-02,2459,2459,2459,2459,0
2007-08-06,2351,2351,2351,2351,0
2007-08-06,2351,2351,2351,2351,0
2007-08-07,2400,2400,2400,2400,0
2007-08-08,2415,2415,2415,2415,0
2007-08-09,2404,2404,2404,2404,0
2007-08-13,2404,2404,2404,2404,0
2007-08-13,2404,2404,2404,2404,0
2007-08-14,2404,2404,2404,2404,0
2007-08-15,2348,2348,2348,2348,0
2007-08-16,2325,2325,2325,2325,0
2007-08-20,2302,2302,2302,2302,0
2007-08-20,2308,2308,2308,2308,0
2007-08-21,2352,2352,2352,2352,0
2007-08-22,2348,2348,2348,2348,0
2007-08-27,2342,2342,2342,2342,0
2007-08-27,2367,2367,2367,2367,0
2007-08-28,2298,2298,2298,2298,0
2007-08-29,2298,2298,2298,2298,0
2007-09-03,2328,2328,2328,2328,0
2007-09-03,2300,2314,2300,2314,0
2007-09-04,2314,2314,2314,2314,0
2007-09-05,2350,2350,2350,2350,0
2007-09-06,2351,2351,2351,2351,0
2007-09-10,2375,2375,2375,2375,0
2007-09-10,2372,2372,2372,2372,0
2007-09-11,2400,2400,2400,2400,0
2007-09-12,2428,2428,2428,2428,0
2007-09-13,2466,2466,2466,2466,0
2007-09-17,2469,2469,2469,2469,0
2007-09-17,2510,2510,2510,2510,0
2007-09-18,2491,2491,2491,2491,0
2007-09-19,2455,2455,2455,2455,0
2007-09-20,2500,2500,2469,2469,0
2007-09-24,2490,2500,2490,2500,0
2007-09-24,2485,2490,2481,2481,0
2007-09-25,2490,2490,2490,2490,0
2007-09-26,2475,2475,2475,2475,0
2007-09-27,2475,2514,2475,2514,0
2007-10-01,2500,2500,2500,2500,0
2007-10-01,2450,2450,2450,2450,0
2007-10-02,2428,2428,2428,2428,0
2007-10-03,2450,2450,2450,2450,0
2007-10-04,2550,2558,2470,2470,0
2007-10-08,2350,2423,2350,2423,0
2007-10-08,2490,2490,2490,2490,0
2007-10-09,2430,2515,2430,2515,0
2007-10-10,2548,2548,2548,2548,0
2007-10-11,2602,2602,2602,2602,0
2007-10-15,2602,2602,2602,2602,0
2007-10-16,2602,2602,2602,2602,0
2007-10-17,2600,2600,2600,2600,0
2007-10-18,2600,2600,2600,2600,0
2007-10-22,2600,2600,2600,2600,0
2007-10-22,2550,2550,2550,2550,0
2007-10-23,2550,2550,2550,2550,0
2007-10-24,2550,2550,2550,2550,0
2007-10-25,2700,2700,2700,2700,0
2007-10-29,2830,2830,2830,2830,0
2007-10-29,2771,2771,2771,2771,0
