instrument,entry_date,exit_date,direction,days_held,exit_reason,daily_net_pnl,intraday_mae,intraday_mfe,n_bars
M3-M4,2025-03-03,2025-03-14,SHORT,9,invalidated,-5.0,-25.0,7.0,84
M3-M4,2025-04-16,2025-04-18,LONG,2,invalidated,-18.0,-15.0,6.0,24
M3-M4,2025-07-31,2025-08-04,LONG,2,take_profit,2.0,-2.0,6.0,24
M3-M4,2025-08-12,2025-08-18,LONG,4,invalidated,15.0,-8.0,19.0,42
M3-M4,2025-09-30,2025-10-01,LONG,1,invalidated,4.0,-5.0,7.0,18
M3-M4,2025-11-04,2025-11-12,LONG,6,invalidated,-6.0,-8.0,4.0,60
M3-M4,2025-12-09,2025-12-11,LONG,2,take_profit,2.0,-3.0,10.0,27
M3-M4,2025-12-15,2025-12-16,SHORT,1,invalidated,-1.0,-3.0,2.0,18
M3-M4,2026-05-29,2026-06-18,LONG,11,take_profit,1.0,-12.0,4.0,88
M4-M5,2024-04-02,2024-04-16,SHORT,8,take_profit,37.0,-1.0,45.0,72
M4-M5,2024-07-09,2024-07-11,LONG,2,take_profit,7.0,5.0,11.0,27
M4-M5,2024-08-01,2024-08-05,SHORT,2,take_profit,-1.0,-9.0,3.0,24
M4-M5,2024-08-15,2024-08-16,SHORT,1,take_profit,11.0,-0.0,19.0,15
M4-M5,2024-08-30,2024-09-04,SHORT,3,take_profit,5.0,-1.0,11.0,33
M4-M5,2024-09-10,2024-09-17,SHORT,4,take_profit,6.0,-7.0,10.0,42
M4-M5,2024-09-23,2024-10-03,SHORT,8,invalidated,-32.0,-33.0,4.0,78
M4-M5,2024-12-04,2024-12-05,SHORT,1,invalidated,-18.0,-25.0,6.0,18
M4-M5,2025-01-17,2025-01-24,LONG,5,take_profit,24.0,-4.0,32.0,48
M4-M5,2025-03-03,2025-03-14,SHORT,9,invalidated,-13.0,-26.0,18.0,84
M4-M5,2025-04-16,2025-04-18,LONG,2,invalidated,-10.0,-4.0,10.0,24
M4-M5,2025-07-31,2025-08-12,LONG,8,take_profit,-1.0,-5.0,8.0,75
M4-M5,2025-08-13,2025-08-18,LONG,3,invalidated,19.0,0.0,21.0,33
M4-M5,2025-11-04,2025-11-12,LONG,6,invalidated,-6.0,-7.0,7.0,60
M4-M5,2026-05-20,2026-06-16,LONG,16,take_profit,-10.0,-18.0,19.0,124
M5-M6,2024-04-02,2024-04-16,SHORT,8,take_profit,44.0,-5.0,46.0,72
M5-M6,2024-07-05,2024-07-16,LONG,6,invalidated,-12.0,-11.0,0.0,56
M5-M6,2024-08-07,2024-08-15,LONG,6,take_profit,8.0,2.0,17.0,60
M5-M6,2024-08-30,2024-09-03,SHORT,2,take_profit,5.0,-0.0,11.0,24
M5-M6,2024-09-18,2024-10-03,SHORT,11,invalidated,-37.0,-40.0,5.0,102
M5-M6,2024-12-04,2024-12-05,SHORT,1,invalidated,-19.0,-22.0,5.0,18
M5-M6,2025-01-16,2025-01-27,LONG,7,take_profit,21.0,-4.0,22.0,66
M5-M6,2025-03-03,2025-03-14,SHORT,9,invalidated,-14.0,-23.0,17.0,84
M5-M6,2025-04-16,2025-04-18,LONG,2,invalidated,-12.0,-8.0,-1.0,23
M5-M6,2025-08-01,2025-08-18,LONG,11,invalidated,30.0,-1.0,36.0,96
M5-M6,2025-11-04,2025-11-12,LONG,6,invalidated,-11.0,-10.0,4.0,60
M5-M6,2026-05-21,2026-06-16,LONG,15,take_profit,3.0,-7.0,7.0,116
BF_M1M2M3,2024-04-02,2024-04-04,LONG,2,take_profit,28.0,5.0,26.0,26
BF_M1M2M3,2024-04-05,2024-04-16,SHORT,5,take_profit,34.0,42.0,63.0,41
BF_M1M2M3,2024-04-26,2024-05-07,LONG,6,take_profit,21.0,-22.0,32.0,37
BF_M1M2M3,2024-07-03,2024-07-05,SHORT,2,take_profit,13.0,20.0,26.0,21
BF_M1M2M3,2024-08-14,2024-08-23,LONG,7,take_profit,69.0,66.0,113.0,61
BF_M1M2M3,2024-09-11,2024-09-12,LONG,1,take_profit,69.0,88.0,116.0,18
BF_M1M2M3,2024-09-13,2024-09-19,LONG,3,take_profit,78.0,78.0,124.0,30
BF_M1M2M3,2025-01-10,2025-01-15,LONG,3,take_profit,64.0,70.0,104.0,31
BF_M1M2M3,2025-03-04,2025-03-14,SHORT,8,invalidated,115.0,-1.0,57.0,75
