entry_z,exit_z,shape_regime,period,n,win_pct,adj_sharpe,pnl,max_dd,low_n
1.75,0.75,C,P2_2022-2023,35,60.0,0.421,313.8,-54.6,False
1.75,0.75,C,P3_2024-2026,33,69.7,0.404,106.2,-17.3,False
1.75,0.75,Transitional,P1_2020-2021,0,,,0.0,0.0,True
1.75,0.75,Transitional,P2_2022-2023,0,,,0.0,0.0,True
1.75,0.75,Transitional,P3_2024-2026,0,,,0.0,0.0,True
1.75,0.75,SB+C,P1_2020-2021,81,75.3,1.051,955.6,-130.8,False
1.75,0.75,SB+C,P2_2022-2023,86,67.4,0.795,1986.2,-250.6,False
1.75,0.75,SB+C,P3_2024-2026,86,73.3,1.228,565.7,-70.5,False
2.0,0.25,SB,P1_2020-2021,41,78.0,1.212,865.2,-62.8,False
2.0,0.25,SB,P2_2022-2023,35,74.3,0.747,1709.0,-156.8,False
2.0,0.25,SB,P3_2024-2026,31,67.7,0.515,276.0,-94.0,False
2.0,0.25,C,P1_2020-2021,0,,,0.0,0.0,True
2.0,0.25,C,P2_2022-2023,29,44.8,0.72,126.7,-163.4,False
2.0,0.25,C,P3_2024-2026,26,69.2,0.811,120.1,-18.8,False
2.0,0.25,Transitional,P1_2020-2021,0,,,0.0,0.0,True
2.0,0.25,Transitional,P2_2022-2023,0,,,0.0,0.0,True
2.0,0.25,Transitional,P3_2024-2026,0,,,0.0,0.0,True
2.0,0.25,SB+C,P1_2020-2021,41,78.0,1.212,865.2,-62.8,False
2.0,0.25,SB+C,P2_2022-2023,64,60.9,0.851,1835.7,-254.6,False
2.0,0.25,SB+C,P3_2024-2026,57,68.4,0.818,396.1,-84.0,False
2.0,0.5,SB,P1_2020-2021,41,80.5,1.08,923.2,-62.8,False
2.0,0.5,SB,P2_2022-2023,36,72.2,0.846,1392.1,-156.8,False
2.0,0.5,SB,P3_2024-2026,32,68.8,0.499,254.2,-94.0,False
2.0,0.5,C,P1_2020-2021,0,,,0.0,0.0,True
2.0,0.5,C,P2_2022-2023,30,60.0,0.865,369.9,-24.5,False
2.0,0.5,C,P3_2024-2026,26,65.4,0.693,122.1,-19.8,False
2.0,0.5,Transitional,P1_2020-2021,0,,,0.0,0.0,True
2.0,0.5,Transitional,P2_2022-2023,0,,,0.0,0.0,True
2.0,0.5,Transitional,P3_2024-2026,0,,,0.0,0.0,True
2.0,0.5,SB+C,P1_2020-2021,41,80.5,1.08,923.2,-62.8,False
2.0,0.5,SB+C,P2_2022-2023,66,66.7,0.985,1762.0,-156.8,False
2.0,0.5,SB+C,P3_2024-2026,58,67.2,0.748,376.2,-82.0,False
2.0,0.75,SB,P1_2020-2021,46,82.6,1.172,877.0,-62.8,False
2.0,0.75,SB,P2_2022-2023,40,75.0,0.795,1410.7,-187.6,False
2.0,0.75,SB,P3_2024-2026,32,68.8,0.441,219.2,-114.0,False
2.0,0.75,C,P1_2020-2021,0,,,0.0,0.0,True
2.0,0.75,C,P2_2022-2023,30,56.7,0.593,325.9,-30.4,False
2.0,0.75,C,P3_2024-2026,26,69.2,0.477,112.1,-20.8,False
2.0,0.75,Transitional,P1_2020-2021,0,,,0.0,0.0,True
2.0,0.75,Transitional,P2_2022-2023,0,,,0.0,0.0,True
2.0,0.75,Transitional,P3_2024-2026,0,,,0.0,0.0,True
2.0,0.75,SB+C,P1_2020-2021,46,82.6,1.172,877.0,-62.8,False
2.0,0.75,SB+C,P2_2022-2023,70,67.1,0.884,1736.6,-187.6,False
2.0,0.75,SB+C,P3_2024-2026,58,69.0,0.603,331.2,-78.0,False
2.25,0.25,SB,P1_2020-2021,21,76.2,1.137,609.8,-11.8,False
2.25,0.25,SB,P2_2022-2023,28,75.0,0.917,2066.8,-154.9,False
2.25,0.25,SB,P3_2024-2026,21,66.7,1.004,232.5,-60.5,False
2.25,0.25,C,P1_2020-2021,0,,,0.0,0.0,True
2.25,0.25,C,P2_2022-2023,22,45.5,0.805,100.2,-123.4,False
2.25,0.25,C,P3_2024-2026,14,64.3,0.703,92.4,-15.0,False
2.25,0.25,Transitional,P1_2020-2021,0,,,0.0,0.0,True
2.25,0.25,Transitional,P2_2022-2023,0,,,0.0,0.0,True
2.25,0.25,Transitional,P3_2024-2026,0,,,0.0,0.0,True
2.25,0.25,SB+C,P1_2020-2021,21,76.2,1.137,609.8,-11.8,False
2.25,0.25,SB+C,P2_2022-2023,50,62.0,1.02,2167.0,-248.6,False
2.25,0.25,SB+C,P3_2024-2026,35,65.7,1.225,324.9,-36.6,False
2.25,0.5,SB,P1_2020-2021,21,76.2,0.981,626.8,-12.8,False
2.25,0.5,SB,P2_2022-2023,29,72.4,1.062,1763.9,-154.9,False
2.25,0.5,SB,P3_2024-2026,21,66.7,0.957,209.5,-60.5,False
2.25,0.5,C,P1_2020-2021,0,,,0.0,0.0,True
2.25,0.5,C,P2_2022-2023,22,63.6,1.176,303.2,-22.8,False
2.25,0.5,C,P3_2024-2026,14,64.3,0.59,97.4,-16.0,False
2.25,0.5,Transitional,P1_2020-2021,0,,,0.0,0.0,True
2.25,0.5,Transitional,P2_2022-2023,0,,,0.0,0.0,True
2.25,0.5,Transitional,P3_2024-2026,0,,,0.0,0.0,True
2.25,0.5,SB+C,P1_2020-2021,21,76.2,0.981,626.8,-12.8,False
2.25,0.5,SB+C,P2_2022-2023,51,68.6,1.209,2067.2,-154.9,False
2.25,0.5,SB+C,P3_2024-2026,35,65.7,1.119,306.9,-38.3,False
2.25,0.75,SB,P1_2020-2021,23,78.3,0.954,557.2,-8.8,False
2.25,0.75,SB,P2_2022-2023,32,75.0,1.016,1782.4,-154.9,False
2.25,0.75,SB,P3_2024-2026,21,66.7,0.896,193.5,-60.5,False
2.25,0.75,C,P1_2020-2021,0,,,0.0,0.0,True
2.25,0.75,C,P2_2022-2023,22,63.6,0.792,252.2,-22.8,False
2.25,0.75,C,P3_2024-2026,14,64.3,0.579,96.4,-17.0,False
2.25,0.75,Transitional,P1_2020-2021,0,,,0.0,0.0,True
2.25,0.75,Transitional,P2_2022-2023,0,,,0.0,0.0,True
2.25,0.75,Transitional,P3_2024-2026,0,,,0.0,0.0,True
2.25,0.75,SB+C,P1_2020-2021,23,78.3,0.954,557.2,-8.8,False
2.25,0.75,SB+C,P2_2022-2023,54,70.4,1.108,2034.6,-154.9,False
2.25,0.75,SB+C,P3_2024-2026,35,65.7,1.063,289.9,-38.3,False
2.5,0.25,SB,P1_2020-2021,14,78.6,0.966,562.4,-8.8,False
2.5,0.25,SB,P2_2022-2023,25,76.0,0.886,2047.3,-149.9,False
2.5,0.25,SB,P3_2024-2026,11,54.5,0.936,93.9,-42.6,False
2.5,0.25,C,P1_2020-2021,0,,,0.0,0.0,True
2.5,0.25,C,P2_2022-2023,17,58.8,1.308,103.4,-56.9,False
2.5,0.25,C,P3_2024-2026,10,70.0,0.605,82.9,-13.0,False
2.5,0.25,Transitional,P1_2020-2021,0,,,0.0,0.0,True
2.5,0.25,Transitional,P2_2022-2023,0,,,0.0,0.0,True
2.5,0.25,Transitional,P3_2024-2026,0,,,0.0,0.0,True
2.5,0.25,SB+C,P1_2020-2021,14,78.6,0.966,562.4,-8.8,False
